SUMLEV|REGION|DIVISION|STATE|COUNTY|STNAME|CTYNAME|CENSUS2010POP|ESTIMATESBASE2010|POPESTIMATE2010|POPESTIMATE2011|POPESTIMATE2012|POPESTIMATE2013|POPESTIMATE2014|POPESTIMATE2015|NPOPCHG_2010|NPOPCHG_2011|NPOPCHG_2012|NPOPCHG_2013|NPOPCHG_2014|NPOPCHG_2015|BIRTHS2010|BIRTHS2011|BIRTHS2012|BIRTHS2013|BIRTHS2014|BIRTHS2015|DEATHS2010|DEATHS2011|DEATHS2012|DEATHS2013|DEATHS2014|DEATHS2015|NATURALINC2010|NATURALINC2011|NATURALINC2012|NATURALINC2013|NATURALINC2014|NATURALINC2015|INTERNATIONALMIG2010|INTERNATIONALMIG2011|INTERNATIONALMIG2012|INTERNATIONALMIG2013|INTERNATIONALMIG2014|INTERNATIONALMIG2015|DOMESTICMIG2010|DOMESTICMIG2011|DOMESTICMIG2012|DOMESTICMIG2013|DOMESTICMIG2014|DOMESTICMIG2015|NETMIG2010|NETMIG2011|NETMIG2012|NETMIG2013|NETMIG2014|NETMIG2015|RESIDUAL2010|RESIDUAL2011|RESIDUAL2012|RESIDUAL2013|RESIDUAL2014|RESIDUAL2015|GQESTIMATESBASE2010|GQESTIMATES2010|GQESTIMATES2011|GQESTIMATES2012|GQESTIMATES2013|GQESTIMATES2014|GQESTIMATES2015|RBIRTH2011|RBIRTH2012|RBIRTH2013|RBIRTH2014|RBIRTH2015|RDEATH2011|RDEATH2012|RDEATH2013|RDEATH2014|RDEATH2015|RNATURALINC2011|RNATURALINC2012|RNATURALINC2013|RNATURALINC2014|RNATURALINC2015|RINTERNATIONALMIG2011|RINTERNATIONALMIG2012|RINTERNATIONALMIG2013|RINTERNATIONALMIG2014|RINTERNATIONALMIG2015|RDOMESTICMIG2011|RDOMESTICMIG2012|RDOMESTICMIG2013|RDOMESTICMIG2014|RDOMESTICMIG2015|RNETMIG2011|RNETMIG2012|RNETMIG2013|RNETMIG2014|RNETMIG2015
050|3|6|21|139|Kentucky|Livingston County|9519|9519|9536|9500|9441|9352|9355|9316|17|-36|-59|-89|3|-39|23|98|97|108|107|106|46|139|115|128|111|114|-23|-41|-18|-20|-4|-8|1|1|3|3|4|4|41|5|-43|-78|-1|-33|42|6|-40|-75|3|-29|-2|-1|-1|6|4|-2|69|69|69|69|69|69|69|10.296280731|10.24233145|11.493641249|11.439568076|11.354506989|14.603908384|12.142970276|13.622093333|11.867215481|12.211450913|-4.307627653|-1.900638826|-2.128452083|-0.427647405|-0.856943924|0.1050640891|0.3167731376|0.3192678125|0.4276474047|0.4284719619|0.5253204455|-4.540414973|-8.300963125|-0.106911851|-3.534893685|0.6303845346|-4.223641835|-7.981695312|0.3207355535|-3.106421724
050|4|9|15|003|Hawaii|Honolulu County|953207|953207|956377|966581|976711|986802|992082|998714|3170|10204|10130|10091|5280|6632|3381|13773|13514|13762|13590|13789|1751|7080|7129|7225|8026|8010|1630|6693|6385|6537|5564|5779|1600|5157|7721|7031|7395|8019|-59|-1168|-3875|-3253|-7259|-7475|1541|3989|3846|3778|136|544|-1|-478|-101|-224|-420|309|35300|35726|35946|35792|36258|36310|36280|14.324805846|13.908357571|14.017732503|13.735014281|13.852750357|7.3636553684|7.3370342697|7.3592586349|8.1116427239|8.0470324433|6.9611504775|6.5713233009|6.658473868|5.6233715569|5.8057179138|5.3636116857|7.9463096642|7.161653628|7.4739095369|8.0560740528|-1.214795123|-3.988077963|-3.313448905|-7.336458327|-7.50955899|4.1488165628|3.9582317017|3.8482047229|0.1374512099|0.5465150623
050|4|9|02|220|Alaska|Sitka City and Borough|8881|8881|8898|8914|9054|9003|8881|8863|17|16|140|-51|-122|-18|27|117|113|95|89|86|26|67|58|71|52|45|1|50|55|24|37|41|3|36|56|44|45|47|16|-75|30|-114|-221|-98|19|-39|86|-70|-176|-51|-3|5|-1|-5|17|-8|255|255|256|256|253|259|259|13.137210869|12.577916296|10.522235144|9.9530306419|9.6934174932|7.52301819|6.4559216385|7.8639862657|5.8152538582|5.0721370604|5.6141926791|6.1219946572|2.6582488786|4.1377767837|4.6212804328|4.0422187289|6.2333036509|4.8734562773|5.0324312234|5.2975653742|-8.421289019|3.339269813|-12.62668217|-24.7148289|-11.04598738|-4.37907029|9.5725734639|-7.753225896|-19.68239767|-5.748422002
050|2|4|31|147|Nebraska|Richardson County|8363|8363|8362|8343|8289|8130|8151|8094|-1|-19|-54|-159|21|-57|31|86|88|83|110|103|16|108|120|128|101|118|15|-22|-32|-45|9|-15|0|0|0|0|0|0|-13|8|-21|-102|7|-38|-13|8|-21|-102|7|-38|-3|-5|-1|-12|5|-4|155|155|155|154|153|151|151|10.296318468|10.582010582|10.110238139|13.512683496|12.680824869|12.930260401|14.43001443|15.591692551|12.407100301|14.527546938|-2.633941934|-3.848003848|-5.481454413|1.1055831951|-1.846722068|0|0|0|0|0|0.9577970667|-2.525252525|-12.42463|0.8598980407|-4.678362573|0.9577970667|-2.525252525|-12.42463|0.8598980407|-4.678362573
050|2|3|17|197|Illinois|Will County|677560|677574|678910|680667|682369|684054|685621|687263|1336|1757|1702|1685|1567|1642|2215|8199|8096|7837|7598|7638|805|3908|3882|4084|4126|4230|1410|4291|4214|3753|3472|3408|175|910|866|983|1160|1169|-247|-3415|-3433|-3292|-2885|-3238|-72|-2505|-2567|-2309|-1725|-2069|-2|-29|55|241|-180|303|8547|8547|8799|8815|9103|9115|9114|12.061104299|11.879363421|11.470825652|11.094602734|11.126941533|5.748846884|5.6961078064|5.9776511373|6.024786902|6.1622103543|6.3122574154|6.1832556147|5.4931745148|5.0698158322|4.964731179|1.3386516542|1.270692777|1.4387931116|1.6938324785|1.7029843745|-5.023621318|-5.037284415|-4.818420065|-4.21267819|-4.717077335|-3.684969663|-3.766591638|-3.379626953|-2.518845712|-3.014092961
050|2|4|29|025|Missouri|Caldwell County|9424|9424|9445|9209|9113|9064|9017|9014|21|-236|-96|-49|-47|-3|23|91|91|85|86|85|12|97|112|105|98|96|11|-6|-21|-20|-12|-11|0|1|0|0|1|1|9|-273|-71|-28|-31|25|9|-272|-71|-28|-30|26|1|42|-4|-1|-5|-18|214|214|214|214|214|214|214|9.756620564|9.9334133828|9.3524784068|9.5127481887|9.4282069769|10.399914228|12.225739548|11.553061561|10.840108401|10.64832788|-0.643293664|-2.292326165|-2.200583155|-1.327360212|-1.220120903|0.1072156106|0|0|0.110613351|0.1109200821|-29.26986169|-7.750245606|-3.080816416|-3.429013882|2.773002052|-29.16264608|-7.750245606|-3.080816416|-3.318400531|2.8839221341
040|4|8|30|000|Montana|Montana|989415|989417|990643|997746|1005157|1014402|1023252|1032949|1226|7103|7411|9245|8850|9697|3068|11999|12037|12207|12520|12593|2389|9125|8964|9439|9077|9204|679|2874|3073|2768|3443|3389|202|608|742|671|718|751|408|3432|3573|5683|4447|5268|610|4040|4315|6354|5165|6019|-63|189|23|123|242|289|28849|28849|28789|28812|28852|28872|28867|12.069066968|12.019553618|12.088777798|12.288641742|12.248802525|9.1782845308|8.9510076125|9.3475852897|8.9092652629|8.9524321795|2.8907824374|3.0685460055|2.7411925079|3.379376479|3.2963703451|0.6115503556|0.740924548|0.6645015075|0.7047320104|0.7304733341|3.452040823|3.5678213074|5.627961352|4.3648234686|5.1240126816|4.0635911786|4.3087458554|6.2924628595|5.069555479|5.8544860157
040|3|5|54|000|West Virginia|West Virginia|1852994|1853011|1854225|1854948|1856283|1852985|1848751|1844128|1214|723|1335|-3298|-4234|-4623|5104|20462|20678|20934|20705|20764|5235|21910|21492|22247|21617|21704|-131|-1448|-814|-1313|-912|-940|255|1018|1127|1170|1344|1345|1215|1045|1041|-2632|-4150|-4685|1470|2063|2168|-1462|-2806|-3340|-125|108|-19|-523|-516|-343|49406|49403|49351|49663|49186|48191|48188|11.033187182|11.143472341|11.287402258|11.18664324|11.245426671|11.813954216|11.582140804|11.995358653|11.679385024|11.754514567|-0.780767034|-0.438668463|-0.707956395|-0.492741784|-0.509087896|0.54890942|0.6073456489|0.6308522328|0.7261457867|0.7284289575|0.5634679213|0.5609998408|-1.419147929|-2.242191231|-2.537315737|1.1123773413|1.1683454897|-0.788295696|-1.516045445|-1.808886779
050|3|7|05|107|Arkansas|Phillips County|21757|21757|21668|21401|20753|20388|19901|19513|-89|-267|-648|-365|-487|-388|67|320|304|298|308|294|38|274|307|266|257|254|29|46|-3|32|51|40|1|2|1|1|2|2|-117|-326|-663|-354|-563|-411|-116|-324|-662|-353|-561|-409|-2|11|17|-44|23|-19|246|246|246|246|246|246|246|14.859876013|14.423305024|14.486765028|15.289533123|14.918556858|12.723768836|14.565640271|12.931139253|12.757824716|12.888821231|2.1361071769|-0.142335247|1.5556257748|2.5317084068|2.0297356269|0.0928742251|0.0474450823|0.0486133055|0.0992826826|0.1014867813|-15.13849869|-31.45608958|-17.20911013|-27.94807516|-20.85553357|-15.04562446|-31.40864449|-17.16049683|-27.84879247|-20.75404679
050|2|4|46|081|South Dakota|Lawrence County|24097|24097|24197|24335|24397|24951|24717|24827|100|138|62|554|-234|110|75|242|219|231|246|227|31|208|229|242|214|204|44|34|-10|-11|32|23|0|6|11|12|15|15|56|99|64|539|-295|74|56|105|75|551|-280|89|0|-1|-3|14|14|-2|1071|1071|1071|1070|1070|1073|1072|9.9728014506|8.9879340064|9.3620815433|9.9057743416|9.1635717746|8.5716640567|9.3983419519|9.8078949501|8.6172183297|8.2351041498|1.4011373939|-0.410407945|-0.445813407|1.2885560119|0.9284676247|0.2472595401|0.45144874|0.4863418984|0.6040106306|0.605522364|4.0797824116|2.6266108512|21.844856934|-11.87887573|2.9872436622|4.3270419517|3.0780595912|22.331198833|-11.2748651|3.5927660262
